"Wavelength, nm",E-490 W/m2/nm
1640,2.26E-01
1642,2.27E-01
1644,2.28E-01
1646,2.29E-01
1648,2.29E-01
1650,2.27E-01
1652,2.27E-01
1654,2.26E-01
1656,2.26E-01
1658,2.25E-01
1660,2.25E-01
1662,2.25E-01
1664,2.23E-01
1666,2.21E-01
1668,2.19E-01
1670,2.23E-01
1672,2.17E-01
1674,2.19E-01
1676,2.16E-01
1678,2.17E-01
1680,2.08E-01
1682,2.05E-01
1684,2.13E-01
1686,2.13E-01
1688,2.12E-01
1690,2.11E-01
1692,2.12E-01
1694,2.11E-01
1696,2.10E-01
1698,2.09E-01
1700,2.06E-01
1702,2.05E-01
1704,2.05E-01
1706,2.05E-01
1708,2.02E-01
1710,2.01E-01
1712,1.98E-01
1714,2.04E-01
1716,2.02E-01
1718,2.01E-01
1720,1.99E-01
1722,1.98E-01
1724,1.95E-01
1726,1.98E-01
1728,1.97E-01
1730,1.98E-01
1732,1.94E-01
1734,1.87E-01
1736,1.83E-01
1738,1.86E-01
1740,1.91E-01
1742,1.90E-01
1744,1.91E-01
1746,1.87E-01
1748,1.87E-01
1750,1.86E-01
1752,1.85E-01
1754,1.86E-01
1756,1.85E-01
1758,1.84E-01
1760,1.83E-01
1762,1.79E-01
1764,1.81E-01
1766,1.82E-01
1768,1.80E-01
1770,1.79E-01
1772,1.79E-01
1774,1.79E-01
1776,1.76E-01
1778,1.75E-01
1780,1.76E-01
1782,1.75E-01
1784,1.74E-01
1786,1.74E-01
1788,1.75E-01
1790,1.73E-01
1792,1.72E-01
1794,1.71E-01
1796,1.71E-01
1798,1.70E-01
1800,1.70E-01
1802,1.67E-01
1804,1.69E-01
1806,1.69E-01
1808,1.69E-01
1810,1.69E-01
1812,1.68E-01
1814,1.66E-01
1816,1.61E-01
1818,1.52E-01
1820,1.60E-01
1822,1.60E-01
1824,1.62E-01
1826,1.63E-01
1828,1.61E-01
1830,1.61E-01
1832,1.59E-01
1834,1.59E-01
1836,1.58E-01
1838,1.56E-01
1840,1.56E-01
1842,1.54E-01
1844,1.54E-01
1846,1.54E-01
1848,1.51E-01
1850,1.55E-01
1852,1.53E-01
1854,1.53E-01
1856,1.51E-01
1858,1.53E-01
1860,1.50E-01
1862,1.50E-01
1864,1.51E-01
1866,1.49E-01
1868,1.49E-01
1870,1.51E-01
1872,1.47E-01
1874,1.40E-01
1876,1.30E-01
1878,1.44E-01
1880,1.46E-01
1882,1.47E-01
1884,1.46E-01
1886,1.44E-01
1888,1.45E-01
1890,1.42E-01
1892,1.41E-01
1894,1.40E-01
1896,1.37E-01
1898,1.39E-01
1900,1.40E-01
1902,1.41E-01
1904,1.39E-01
1906,1.39E-01
1908,1.38E-01
1910,1.38E-01
1912,1.35E-01
1914,1.37E-01
1916,1.36E-01
1918,1.35E-01
1920,1.33E-01
1922,1.35E-01
1924,1.34E-01
1926,1.34E-01
1928,1.32E-01
1930,1.31E-01
1932,1.31E-01
1934,1.32E-01
1936,1.33E-01
1938,1.32E-01
1940,1.30E-01
1942,1.29E-01
1944,1.20E-01
1946,1.19E-01
1948,1.27E-01
1950,1.26E-01
1952,1.26E-01
1954,1.29E-01
1956,1.28E-01
1958,1.27E-01
1960,1.26E-01
1962,1.24E-01
1964,1.22E-01
1966,1.23E-01
1968,1.24E-01
1970,1.24E-01
1972,1.21E-01
1974,1.21E-01
1976,1.22E-01
1978,1.19E-01
1980,1.20E-01
1982,1.21E-01
1984,1.20E-01
1986,1.18E-01
1988,1.20E-01
1990,1.20E-01
1992,1.18E-01
1994,1.16E-01
1996,1.17E-01
1998,1.16E-01
2000,1.17E-01
2002,1.16E-01
2004,1.15E-01
2006,1.15E-01
2008,1.15E-01
2010,1.15E-01
2012,1.15E-01
2014,1.14E-01
2016,1.14E-01
2018,1.13E-01
2020,1.12E-01
2022,1.11E-01
2024,1.12E-01
2026,1.12E-01
2028,1.11E-01
2030,1.09E-01
2032,1.10E-01
2034,1.09E-01
2036,1.08E-01
2038,1.06E-01
2040,1.08E-01
2042,1.08E-01
2044,1.08E-01
2046,1.07E-01
2048,1.06E-01
2050,1.06E-01
2052,1.05E-01
2054,1.05E-01
2056,1.05E-01
2058,1.04E-01
2060,1.03E-01
2062,1.02E-01
2064,1.01E-01
2066,1.03E-01
2068,1.02E-01
2070,1.00E-01
2072,1.00E-01
2074,1.01E-01
2076,1.01E-01
2078,1.00E-01
2080,9.88E-02
2082,9.86E-02
2084,9.77E-02
2086,9.85E-02
2088,9.84E-02
2090,9.79E-02
2092,9.57E-02
2094,9.59E-02
2096,9.58E-02
2098,9.62E-02
2100,9.61E-02
2102,9.58E-02
2104,9.56E-02
2106,9.57E-02
2108,9.51E-02
2110,9.40E-02
2112,9.45E-02
2114,9.44E-02
2116,9.33E-02
2118,9.31E-02
2120,9.28E-02
2122,9.28E-02
2124,9.19E-02
2126,9.21E-02
2128,9.23E-02
2130,9.21E-02
2132,9.21E-02
2134,9.16E-02
2136,9.01E-02
2138,9.11E-02
2140,9.08E-02
2142,9.06E-02
2144,9.01E-02
2146,8.94E-02
2148,8.98E-02
2150,8.96E-02
2152,8.91E-02
2154,8.88E-02
2156,8.87E-02
2158,8.84E-02
2160,8.78E-02
2162,8.69E-02
2164,8.46E-02
2166,7.85E-02
2168,8.30E-02
2170,8.56E-02
2172,8.59E-02
2174,8.59E-02
2176,8.53E-02
2178,8.43E-02
2180,8.50E-02
2182,8.43E-02
2184,8.46E-02
2186,8.47E-02
2188,8.28E-02
2190,8.30E-02
2192,8.38E-02
2194,8.35E-02
2196,8.32E-02
2198,8.30E-02
2200,8.27E-02
2202,8.23E-02
2204,8.21E-02
2206,7.97E-02
2208,7.97E-02
2210,8.08E-02
2212,8.11E-02
2214,8.07E-02
2216,7.99E-02
2218,7.97E-02
2220,8.00E-02
2222,7.96E-02
2224,7.93E-02
2226,7.81E-02
2228,7.83E-02
2230,7.83E-02
2232,7.82E-02
2234,7.80E-02
2236,7.76E-02
2238,7.65E-02
2240,7.64E-02
2242,7.64E-02
2244,7.62E-02
2246,7.61E-02
2248,7.52E-02
2250,7.54E-02
2252,7.51E-02
2254,7.40E-02
2256,7.42E-02
2258,7.44E-02
2260,7.42E-02
2262,7.30E-02
2264,7.33E-02
2266,7.32E-02
2268,7.33E-02
2270,7.30E-02
2272,7.28E-02
2274,7.25E-02
2276,7.24E-02
2278,7.24E-02
2280,7.17E-02
2282,7.01E-02
2284,7.13E-02
2286,7.12E-02
2288,7.13E-02
2290,7.11E-02
2292,7.07E-02
2294,6.92E-02
2296,6.91E-02
2298,6.92E-02
2300,6.95E-02
2302,6.96E-02
2304,6.93E-02
2306,6.92E-02
2308,6.90E-02
2310,6.87E-02
2312,6.87E-02
2314,6.83E-02
2316,6.78E-02
2318,6.75E-02
